flatshare_id,age,ages,any_pets,available,balcony_roof_terrace,bills_included,broadband_included,couples_ok,deposit,deposit(room_1),deposit(room_2),deposit(room_3),deposit(room_4),deposit(room_5),detail,disabled_access,double_room,furnishings,garage,garden_patio,gender,images,interests,language,living_room,location,max_age,maximum_term,min_age,minimum_term,nationality,num_flatmates,num_housemates,occupation,orientation,parking,pets_ok,postcode,property_type,references,rent,room_type,security_deposit,smoker,smoking_ok,station,station_distance,total_num_rooms,university,vegetarian_vegan
15691650,,26 to 37,No,Now,,Yes,Yes,No,"£1,240.00",,,,,,"AVAILABLE FROM 25th NOV***0% deposit scheme offered - Repsosit***Sandwiched between Chiswick, Shepherds Bush and Hammersmith this property is well served by public transport and within easy walk of Stamford Brook station.Goldhawk Road, Shepherds Bush Market, Shepherds Bush and Hammersmith are also an easy commute.The shops and bars of Askew Road are within walking distance while Chiswick High Road and Shepherds Bush are a short bus ride.A 5 bedroom split-level flat with a roof terrace and decking area. All rooms are fully furnished and the Landlord covers ALL bills + supplies communal Wi-Fi and a monthly cleaner for communal parts.The property has a good sized bathroom with shower.The lounge is large and airy and leads onto the open plan kitchen/dining area which overlooks the roof terrace.The property is third floor and you also have use of lovely communal gardens with seating areas.This property has a band C energy rating.Please note photos on the ad were taken in Dec 2013 straight after the refurb and prior to people moving in. The property will naturally not be in identical condition now",,,Furnished,,Yes,4 Males,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/80/39/80393791.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/80/39/80393789.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/80/39/80393788.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/95/97959981.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/80/39/80393784.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/80/39/80393790.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/80/39/80393782.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/80/39/80393783.jpg""]",,,shared,London W12,50,None,25,6 months,,4,,Not suitable for students,,,No,W12Area,Flat share,Yes,"£1,075 pcm",double En suite,,No,No,,,5,,
18083859,,,No,Now,No,Yes,Yes,No,,£700.00,£800.00,,,,2 rooms for rent - EALING -ASAPClose to WEST EALING STATION -CENTRAL LINE & ELIZABETH LINElooking for a group of sharersStudents and Working professionals welcome.Lots of local shops and supermarkets available in the area.ideal for a familystudents and professionals subject on relationship .Local shops in the area such as Sainsbury's and other supermarkets.1 MONTH RENT PLUS 1 MONTH DEPOSIT REQUIREDAvailable ASAProom a - 750room b - 800Sharing 1 KITCHENSreferencing and documents is required.Please contact me for viewingsNo time wasters pleaseThanksAlice,No,,Furnished,No,Yes,"1 Female, 1 Male","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425107.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425158.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425105.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425106.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425108.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425109.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425111.jpg""]",,,shared,Ealing,,None,,None,,,2,Available to all,,No,No,W13Area,House share,Yes,£165 pw,double,,No,Yes,West Ealing Station,10-15 minutes walk away,4,,
18083858,,,No,15 Dec 2025,,Some,,No,"£1,300.00",,,,,,Very close to shopping and Portabello marketClose to tube and public transportClose to city Center of LondonOnly share with one personkitchen and bathroomVery clean and newly refurbished bathroom and kitchen,,,Furnished,,Yes,Male,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425005.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425004.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425012.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425007.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425008.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425011.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425006.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425009.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425010.jpg""]",,,No,Ladbroke Grove,,None,,None,,1,,Available to all,,,No,W10Area,Flat share,,"£1,300 pcm",double,,No,No,,,2,,
16879970,,,,06 Jan 2026,Yes,,,,,,,,,,"A bright and spacious furnished 1 bedroom apartment located on the 3rd floor of the highly sought after new development Greenwich Millennium Village. The apartment is furnished and is available to rent from 6th January 2026.The apartment is of a total floor area of 55 square metres (592 square feet) and has ample storage. Floor to ceiling glazing brings in a lot of sunlight and the bedroom has views of the Canary Wharf skyline.The functional layout comprises:- Open plan kitchen, dining and living area- The sleek gloss kitchen has fully integrated, high specification SMEG appliances including: a dishwasher, a combi oven/ microwave, an oven, a hob with extractor fan, a fridge and a freezer.- The bedroom has a king sized bed, black out blinds and an integrated wardrobe- The bathroom is complete with a shower, bath and generous cabinet storage- A private balcony has a table and chairs for alfresco dining- A large storage cupboard; and- A coat and amenity cupboard containing a washer/ dryer.Communal facilities include:- 24 hour concierge service with parcel delivery acceptance and key holding.- Secure bicycle storage with key fob access- Lift and stair access to the apartment- Letter box in ground floor lobby- Video intercom within flat for security- Landscaped communal gardens and child play areasThis sizeable 1 bedroom apartment was built 9 years ago and is therefore to modern, comfortable living standards with a high quality specification. It is designed to be environmentally friendly and energy efficient with excellent sound and heat insulation, mechanical ventilation heat recovery, smart meter and is connected to a community energy centre.Carefully curated furnishings create a modern, stylish space to live and include:Bedroom:- A sculptural, metallic bedroom pendant lamp by Tom Dixon- Ikea bed and mattress- Built in wardrobe- Artwork prints on wallLiving room:- ‘Hinge’ sofa bed by Heals- A beautifully tiled coffee table and rug- TV console unit by Bo Concept- Television- Made. com floor lampDining area:- Ikea dining suite (4 chairs)- Oil painting- Retro wall clock by HabitatBalcony:-Outdoor table & 2 chairsThe apartment is conveniently located close to transport connections and local amenities including nature spots, cultural & entertainment venues, retail, cinemas, bars, restaurants and the world class O2 Arena:Local transport:-15 min walk to North Greenwich tube station for access to the Jubilee line-15 min walk to North Greenwich Thames Clipper riverboat stop -17 min walk to Westcombe Park station for overground trains to destinations including London Bridge-14 min walk to the Emirates Cable Car-Several bus stops within 10 min walkRetail and entertainment:-5 min walk to Millennium leisure park including: IKEA, B&Q, IMAX Odeon and Nandos.-7 min walk to Peninsula Park including: Argos, McDonalds, TK Maxx and the Carphone Warehouse-8 min walk to Greenwich shopping park including Lidl, Asda, Boots, Starbucks, Home Sense, Anytime Fitness and Hobbycraft-8 min walk to Brocklebank retail park including Aldi, Next and Primark 15 min walk to Charlton Riverside Place including Sainsburys, Marks and Spencer, Pure Gym and Costa.-15 min walk to the O2 Arena: includes entertainment spaces, restaurants & bars, a designer outlet mall and CineworldCulture,parks & nature:-2 min walk to the river Thames & Greenwich Yacht Club-5 min walk to Greenwich Ecology Park-7 min walk to Central Park in the Greenwich Peninsula-25 min walk to Royal Greenwich Park-30 min walk to Greenwich old town with attractions including the Old Royal Naval College and the Cutty SarkCouncil Tax and bills are not included as part of the rent of £1850 PCM. Longer let preferred.If you would like to live in a stylish, modern apartment in a great location, please message a bit about yourself, including what you do. Don't be slow as the unique combination of apartment high spec, cost & location goes quickly.Looking forward to hearing from you.",Yes,,Furnished,No,No,,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/88/93/88938897.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/88/93/88938896.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/88/93/88938900.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/88/93/88938901.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/88/93/88938902.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/88/93/88938903.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/88/93/88938906.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/88/93/88938905.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/88/93/88938991.jpg""]",,,own,North Greenwich,,None,,6 months,,,,Available to all,,No,No,SE10Area,"Flat
        
        to rent",Yes,,,"£1,850.00",,No,North Greenwich Station,10-15 minutes walk away,,,
18083860,,,,Now,Yes,Yes,Yes,Yes,£0.00,,,,,,"ADDRESS: ELM GROVE, NW2-Property is very clean and includes a fully equipped microwave, washing machine, fridge and separate freezer and cooker, wooden floor.WE OFFER:✅Electricity✅Water✅Council Tax✅Internet✅ Gas24/7 Maintenance & EmergencyRelocation service--Nice and friendly roommates, young professionals--**Shops, supermarkets, cafes and restaurants are just next to the property.*Safe area a lots of parks and sport centres*FLEXIBLE CONTRACT FOR LONG AND SHORT TERM LETS.Bedroom: Fully Furnished ( wardrobe, chest of drawers, bed , large windows, heating ...)DEPOSIT --> (2 Weeks)To move in we require:- 2 weeks rent- 1 off payment for utility billsConditions:- Minimum stay: NO- Notice to move out: 2 weeks- All bills inclusive with 1 off payment of 400£- Availability: NOWReferences:- ID/Passport or Driving licence- One month bank statementFor more details feel free to call or text me.I also speak Spanish, Italian, Portuguese & RomanianRegards,Maria",No,,Furnished,No,Yes,,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425049.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425062.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425052.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425039.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425050.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425036.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425048.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425064.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425054.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425061.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425040.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425065.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425041.jpg""]",,,shared,Cricklewood,,None,,None,,,,Available to all,,Yes,No,NW2Area,House share,No,£200 pw,double,,,Yes,Kilburn Station,0-5 minutes walk away,,,
18083849,,,,Now,No,Yes,Yes,Yes,,£750.00,£800.00,£906.00,"£1,100.00",,4 rooms for rent - STRATFORD -ASAPClose to STRATFORD STATION -CENTRAL LINE & ELIZABETH LINElooking for a group of sharersStudents and Working professionals welcome.Lots of local shops and supermarkets available in the area.ideal for a familystudents and professionals subject on relationship .Local shops in the area such as Sainsbury's and other supermarkets.1 MONTH RENT PLUS 1 MONTH DEPOSIT REQUIREDAvailable ASAProom a - 1100room b - 910room c - 750room d - 800Sharing 1 KITCHENSreferencing and documents is required.Please contact me for viewingsNo time wasters pleaseThanksAlice,No,,Furnished,No,No,,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425067.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425037.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425038.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425044.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425055.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425056.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425057.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425069.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98425070.jpg""]",,,No,Stratford,,None,,None,,,,Available to all,,No,No,E15Area,Flat share,Yes,£175 pw,double,,,Yes,Stratford High Street Station,15-20 minutes walk away,,,
18083850,39,,No,14 Dec 2025,No,Yes,Yes,No,"£1,600.00",,,,,,"The Rent: £1,600 pcm (All Bills Included) Comparable to a 1-bed flat, but with zero admin or bill hassle.The Space: You will be taking the master ensuite bedroom in a stunning, high-spec flat on Upland Road. This is perfect for a professional who values their own space and a quiet home environment.The Setup: I am the owner (professional) but my work involves significant travel. I retain the smaller room as my base, but I am away frequently. Practically, this means you will often have the living space and kitchen entirely to yourself. It offers the freedom of independent living with the security and ease of a high-end share.Your Private Suite:Master Bedroom: Boutique-hotel style decor, calm and bright.Ensuite: Private luxury bathroom with a rainfall shower.Storage: Ample built-in wardrobe space.The Apartment:Kitchen: Chef’s spec with a quartz island, herringbone splashback, and premium appliances.Living: Open-plan, oak flooring, and flooded with light—perfect for WFH or relaxing.The Vibe: Modern, minimalist, and always pristine.The Location:Upland Road, SE22: A quiet residential street.Lifestyle: Moments from the independent cafes, bars, cinema of Lordship Lane and Dulwich Park.Transport: Unbeatable connections. The bus stop is just a 1-minute walk away, getting you to East Dulwich Station and Peckham Rye Station (Overground & Trains to London Bridge in under 10 minutes.)The Details:Rent: £1,600 pcm (Bills Included).Services: Professional cleaning included (Communal areas and your ensuite/bedroom cleaned bi-weekly).Bills: All inclusive (Council Tax, WiFi, Water, Gas/Elec).Ideal Housemate: A single professional looking for a pristine, fully serviced home. No couples.Available: 14th December",No,,Furnished,No,No,No preference,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424921.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424922.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424923.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424924.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424925.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424926.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424927.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424928.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424929.jpg""]",,English,shared,East Dulwich,,12 months,25,6 months,,1,,Available to all,,No,No,SE22Area,Flat share,Yes,"£1,600 pcm",double En suite,,No,No,East Dulwich Station,5-10 minutes by bus away,2,,
17570164,45,,No,15 Dec 2025,No,Yes,Yes,Yes,£475.00,,,,,,"Look no further; this property is ideal for anyone who is looking to stay in a brilliant location. It's easy to commute into town and you can have a great lifestyle.This is a lovely property in the Greenwich area, within walking distance of the Greenwich Train Station.",No,,Furnished,No,No,"1 Female, 1 Male","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/94/10/94109640.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/94/16/94162915.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/94/16/94162895.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/94/16/94162909.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/94/16/94162913.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/94/16/94162926.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/94/16/94162943.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/94/16/94162941.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/94/16/94162927.jpg""]",,,No,Greenwich,,None,22,6 months,,,2,Available to all,,Yes,No,SE10Area,House share,Yes,£950 pcm,double,,No,Yes,,,3,,
3411681,,24 to 32,Yes,10 Dec 2025,No,Yes,Yes,No,£900.00,,,,,,"Available 10th Dec , Viewings This weekComfortable double room! In stylish flat in an amazing location and friendly flatmates! Location: just round the corner from the lively street market, cafes and designer shops of Portobello and Golborne Road, with an amazing variety of places to eat and drink.Gorgeous two storey flat - all newly refurbished with two great bathrooms, solid oak floors throughout and smart decor. Share eat in contemporary kitchen and living room onto garden, two bathrooms and cloakroom, utility room with washer dryer, wifi.  Most Bills included.Shared with friendly, professional flatmates who keep the place clean and nice and respect each other.5 minutes walk to Westbourne Park tube or Ladbroke Grove and handy bus routes.No Couples please",No,,Furnished,No,Yes,Females preferred,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98327372.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98327373.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/25/40/25405156.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/79/99/79993700.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98327375.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98327371.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/32/98327370.jpg""]",,English,shared,Ladbroke Grove,32,None,24,6 months,,4,,Available to all,,No,Yes,W10Area,Flat share,No,£900 pcm,double,,No,Yes,Westbourne Park Station,5-10 minutes walk away,5,,
4201809,,,,Now,,,,,,,,,,,"A two bedroom flat benefiting from portered access and great living and entertaining space with a fantastic location in the centre of Woolwich.The property comprises bright and spacious reception room with open-plan kitchen and space to dine, two good sized bedrooms, 2 Bathrooms (en suite shower room and stylish bath tub in the other).Calderwood Street is fantastically situated for easy access to the many shops, bars and restaurants of Woolwich.Woolwich Arsenal Station (DLR) is the nearest public transport link for journeys into the city as well as many bus routes servicing the surrounding area.Docklands Light RailwayParking available for an additional £60 per monthKeys Features:Modern Open-Plan Kitchen/ Reception Room with Large Windows and lovely panoramic views-Two Double Bedroom-Neatly Presented Bathroom-En-suite Bathroom-Laminate Flooring",,"£1,050 pw (En suite)",Furnished,,,,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/82/51/82516424.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/82/51/82516430.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/82/51/82516463.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/89/67/89679042.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/89/62/89628404.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/82/51/82516441.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/82/51/82516442.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/82/51/82516451.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/85/87/85874047.jpg""]",,,own,Woolwich,,12 months,,6 months,,,,Available to all,,,Yes,SE18Area,"Flat
        
        to rent",Yes,,,"£2,423.00",,Yes,,,,,
17970389,,,,08 Dec 2025,No,,,,,,,,,,"📍 Address: Champion Hill, SE5💷 Rent: £3800 pcm (whole property)📅 Available from: now🛏️ Property: 5 Double Bedrooms (2 very spacious ✨, 1 with balcony 🌅) | 1 Bathroom 🛁 | 2 Shower Rooms 🚿 | Open-Plan Kitchen 🍴 / Dining 🍽️ & Sitting Area 🛋️ | Garage 🚗 | Rear Garden 🌿🌸✨ A rare opportunity to rent a large 5-bedroom house in the highly desirable Champion Hill area – perfect for a group of five professionals 👩‍💼👨‍💼 or students 🎓🎒 looking to share a beautiful and well-connected home.✅ 5 double bedrooms 🛏️ (2 extra spacious, 1 with private balcony 🌇)✅ Bright open-plan kitchen 🍳 / dining 🍝 / living space 🛋️✅ 1 bathroom 🛁 + 2 additional shower rooms 🚿🚿✅ Private rear garden 🌳🌺 – perfect for relaxing 😌 or socialising 🍻🎶✅ Garage 🚘 and extra storage 📦🌍 Location Highlights:🚉 Only 9 minutes’ walk 🚶 to Denmark Hill Station (Overground & National Rail) – quick access to Central London 🏙️🛍️ Close to shops 🛒, cafes ☕, and restaurants 🍔🍕🌳 Green parks nearby 🌼🏞️ for leisure and recreation 🏃‍♀️🚴💡 Ideal for a group of 5 friends 👯‍♂️, colleagues 👨‍👩‍👧‍👦, or students 🎓 wanting to live together in a spacious home 🏡.📞 Don’t miss out ❗ – properties of this size and location 📍 are in high demand 🔥👉 Contact me today to arrange a viewing 👀📲",No,£760 pcm,Furnished,No,No,,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/46/97464979.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/46/97464975.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/46/97464976.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/46/97464977.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/46/97464978.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/46/97464980.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/46/97464981.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/46/97464982.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/46/97464983.jpg""]",,,own,Denmark Hill,,None,,12 months,,,,Available to all,,No,No,SE5Area,"Flat
        
        to rent",Yes,,,"£3,800.00",,Yes,Denmark Hill Station,0-5 minutes walk away,,,
18062222,,22 to 31,No,Now,No,Yes,Yes,No,£0.00,,,,,,"Looking for a comfortable, affordable and well-located room in East London?Perfect for students and young professionals who want convenience, good vibes and a stress-free move-in 🧘‍♂️💫£700/month for the first 2 months, then £850/month💰 NO deposit — just 3 weeks’ rent in advance💡 All bills included (Wi-Fi, gas, electricity, water, council tax)🚀 Move in ASAP✅Fully furnished rooms (bed, wardrobe, desk, storage)✅Bright, clean shared kitchen✅Friendly and easygoing young flatmates❌No hidden or extra fees📍 Top Location: E1You literally can’t beat the location:1 min walk → Queen Mary University 🎓5 min walk → Stepney Green Station 🚇10 min walk → Mile End (Central Line)Everything you need is right outside:☕ cafés • 🍣 restaurants • 🛒 supermarkets • 24/7 shops • gyms • parks📲 Interested?Send me your WhatsApp number and I’ll arrange a viewing right away.Looking forward to meeting you! 👋",No,,Furnished,No,No,"3 Females, 1 Male","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/23/98238654.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/23/98238660.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/23/98238659.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/23/98238658.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/23/98238657.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/23/98238653.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/23/98238656.jpg""]",,,No,Stepney Green,42,None,18,2 months,,4,,Available to all,,No,No,E1Area,Flat share,No,£750 pcm,double,,No,Yes,Mile End Station,0-5 minutes walk away,5,,
17993848,35,,Yes,15 Dec 2025,Yes,Some,Yes,Yes,£600.00,,,,,,"Hi, I’m Jd.I’ve got a quirky, bohemian-style flat filled with character, oddities, and a few antiques and a bit of an “art work in progress” vibe. It’s cozy, unique, and ready to live in, even though I’m still fixing up little bits here and there. And we have big dog called Savi staying a lot of the time these days as I’m often caring for him, he’s very friendly and cuddly.📍 Location:•	5 minutes’ walk from Chalk Farm Station•	15 minutes from Primrose Hill & Hampstead Heath•	Great transport links and a lovely quiet neighbourhood.•		Independent cafés & pubs plenty of cozy spots within walking distance•	 Shops & supermarkets, handy local options plus Camden High Street close by🛏 About the Room & Flat:•	The room is about 3m x 2.5m, with one window and space for a double bed, technically a single but large enough to be a cozy double.•	bedroom barely furnished, bring your own touch.•	You’ll be sharing the flat with me, but will feel like you live alone some times as I travel often for work.•	Shared kitchen and living space with plenty of natural light✨Just to give you a clear picture, the room is officially a single (3m x 2.5m), though it can fit a double bed and people have used it that way, as the room fits a double bed and desk so could be considered a cosy double. The bedroom has one window that brings in nice natural light.💡 Looking for:I’m looking for a flatmate with good, chill vibes, someone who’s not too loud, tidy enough to keep the place comfortable and appreciates a relaxed atmosphere.I’m often away, living in between London, Brighton and Berlin these days. So you’d have the place to yourself plenty of the time. And would be great if I could find someone dog friendly and wouldn’t minding sitting every once in a while.💰 Rent & Bills:600£ (+ deposit 1 month)Rent negotiableMessage me if interested.Most bills included.If that feels good to you, I’d be really happy to arrange a viewing so you can feel if the space works for you.Cheers,Jd",No,,Furnished,No,No,No preference,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/67/97672049.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/65/97658103.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/69/97696911.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/69/97696909.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/65/97658167.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424676.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/65/97657682.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424688.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424717.jpg""]","music, gym, art, films, football, gaming, history, comedy, meditation, guitar, snowboarding, martial arts, documentaries, podcasts, d&d",English,shared,Camden,69,None,18,1 month,English,1,,Available to all,,No,Yes,NW3Area,Flat share,No,£600 pcm,single,,No,No,Chalk Farm Station,0-5 minutes walk away,2,,
18083812,,,,Now,Yes,Yes,Yes,Yes,£950.00,,,,,,"A modern, fully furnished en-suite bedroom available in a clean, quiet and empty flat — perfect for someone looking for a comfortable, private stay. The room comes with its own bathroom, plenty of natural light, fast Wi-Fi, and access to a well-maintained kitchen and living space. Ideal for professionals or anyone needing a short-term stay in a peaceful home.",No,,Furnished,No,No,,"[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424656.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424649.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424648.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424650.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424652.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424653.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424654.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424655.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/large/98/42/98424651.jpg""]",,,shared,Blackheath,,2 months,,None,,,,Available to all,,Yes,Yes,SE13Area,Flat share,No,£950 pcm,double En suite,,,Yes,Lewisham Station,10-15 minutes walk away,,,
